HDR,ROLLING SYSTEM DEMAND
VD,20200302000000,26659
VD,20200302000500,26755
VD,20200302001000,26804
VD,20200302001500,26781
VD,20200302002000,26674
VD,20200302002500,26612
VD,20200302003000,26562
VD,20200302003500,26795
VD,20200302004000,26979
VD,20200302004500,26971
VD,20200302005000,26927
VD,20200302005500,26864
VD,20200302010000,26711
VD,20200302010500,26543
VD,20200302011000,26581
VD,20200302011500,26649
VD,20200302012000,26649
VD,20200302012500,26651
VD,20200302013000,26652
VD,20200302013500,26602
VD,20200302014000,26483
VD,20200302014500,26365
VD,20200302015000,26332
VD,20200302015500,26273
VD,20200302020000,26190
VD,20200302020500,26109
VD,20200302021000,26043
VD,20200302021500,25958
VD,20200302022000,25949
VD,20200302022500,25972
VD,20200302023000,25934
VD,20200302023500,25997
VD,20200302024000,26039
VD,20200302024500,26066
VD,20200302025000,26046
VD,20200302025500,25974
VD,20200302030000,25841
VD,20200302030500,25866
VD,20200302031000,25802
VD,20200302031500,25634
VD,20200302032000,25573
VD,20200302032500,25402
VD,20200302033000,25369
VD,20200302033500,25358
VD,20200302034000,25475
VD,20200302034500,25544
VD,20200302035000,25470
VD,20200302035500,25373
VD,20200302040000,25286
VD,20200302040500,25405
VD,20200302041000,25449
VD,20200302041500,25528
VD,20200302042000,25568
VD,20200302042500,25554
VD,20200302043000,25516
VD,20200302043500,25602
VD,20200302044000,25599
VD,20200302044500,25550
VD,20200302045000,25512
VD,20200302045500,25617
VD,20200302050000,25662
VD,20200302050500,26092
VD,20200302051000,26303
VD,20200302051500,26417
VD,20200302052000,26464
VD,20200302052500,26670
VD,20200302053000,26807
VD,20200302053500,27080
VD,20200302054000,27366
VD,20200302054500,27841
VD,20200302055000,28140
VD,20200302055500,28472
VD,20200302060000,29121
VD,20200302060500,30025
VD,20200302061000,30751
VD,20200302061500,31357
VD,20200302062000,31962
VD,20200302062500,32553
VD,20200302063000,32995
VD,20200302063500,33349
VD,20200302064000,33840
VD,20200302064500,34131
VD,20200302065000,34450
VD,20200302065500,34969
VD,20200302070000,35576
VD,20200302070500,36187
VD,20200302071000,36835
VD,20200302071500,37052
VD,20200302072000,37506
VD,20200302072500,37822
VD,20200302073000,37823
VD,20200302073500,37896
VD,20200302074000,37894
VD,20200302074500,37906
VD,20200302075000,37992
VD,20200302075500,38005
VD,20200302080000,38154
VD,20200302080500,38437
VD,20200302081000,38502
VD,20200302081500,38487
VD,20200302082000,38458
VD,20200302082500,38472
VD,20200302083000,38445
VD,20200302083500,38523
VD,20200302084000,38515
VD,20200302084500,38387
VD,20200302085000,38302
VD,20200302085500,38253
VD,20200302090000,38287
VD,20200302090500,38385
VD,20200302091000,38386
VD,20200302091500,38348
VD,20200302092000,38188
VD,20200302092500,38156
VD,20200302093000,38151
VD,20200302093500,38067
VD,20200302094000,37872
VD,20200302094500,37677
VD,20200302095000,37521
VD,20200302095500,37385
VD,20200302100000,37283
VD,20200302100500,37042
VD,20200302101000,37027
VD,20200302101500,37004
VD,20200302102000,36848
VD,20200302102500,36666
VD,20200302103000,36582
VD,20200302103500,36594
VD,20200302104000,36490
VD,20200302104500,36429
VD,20200302105000,36334
VD,20200302105500,36205
VD,20200302110000,36080
VD,20200302110500,35910
VD,20200302111000,35842
VD,20200302111500,35682
VD,20200302112000,35380
VD,20200302112500,35167
VD,20200302113000,35140
VD,20200302113500,35176
VD,20200302114000,35400
VD,20200302114500,35089
VD,20200302115000,34886
VD,20200302115500,34862
VD,20200302120000,34832
VD,20200302120500,34681
VD,20200302121000,34976
VD,20200302121500,35029
VD,20200302122000,34947
VD,20200302122500,34927
VD,20200302123000,34873
VD,20200302123500,34697
VD,20200302124000,34544
VD,20200302124500,34507
VD,20200302125000,34465
VD,20200302125500,34534
VD,20200302130000,34414
VD,20200302130500,34383
VD,20200302131000,34396
VD,20200302131500,34327
VD,20200302132000,34292
VD,20200302132500,34178
VD,20200302133000,34086
VD,20200302133500,34100
VD,20200302134000,34090
VD,20200302134500,33925
VD,20200302135000,33886
VD,20200302135500,33792
VD,20200302140000,33828
VD,20200302140500,34296
VD,20200302141000,34896
VD,20200302141500,35185
VD,20200302142000,35278
VD,20200302142500,35147
VD,20200302143000,34983
VD,20200302143500,35018
VD,20200302144000,35079
VD,20200302144500,35202
VD,20200302145000,35372
VD,20200302145500,35477
VD,20200302150000,35666
VD,20200302150500,35930
VD,20200302151000,35925
